"","ASV","YSI","rASV","rYSI","means"
"0040841069",1.89410150289778,1606,1262,344,251.811216756331
"0040841072",2.20859852554872,1845,1362,483,250.129011431277
"0047141014",1.31633982449421,1670,944,726,246.939595295344
"0047141018",1.32087811650417,2208,948,1260,238.628848822682
"0047141065",0.857591756541373,1453,523,930,244.057496309451
"0047141069",1.06144095710491,1327,710,617,248.51051284385
"0047141075",0.892879591529216,1656,560,1096,241.666902173649
"0049641007",1.12217168042306,1465,772,693,247.462720956727
"0049641034",0.778499252033062,1741,447,1294,237.864488553315
"0049641035",1.93161941509526,1968,1274,694,247.416572668276
"0049641047",0.688318948006801,934,371,563,249.167202637858
"0049641048",1.01683133868973,1914,671,1243,238.969907304321
"0056641013",2.10216730578697,1988,1334,654,248.004769237142
"0056641016",0.856881792984992,959,522,437,250.682217068631
"0056641019",1.70159498835608,2533,1198,1335,236.671285991992
"0056641020",1.48770390349534,1746,1064,682,247.615546574002
"0056641039",1.54006335183733,1935,1097,838,245.497994104868
"0060941019",1.11766514709527,2020,768,1252,238.711152654648
"0060941020",0.109927169319253,442,14,428,250.777495868533
"0060941028",1.66703746089512,2145,1175,970,243.58697823185
"0060941033",0.663278456889088,462,356,106,256.296466327088
"0060941056",1.1476865179622,1639,798,841,245.445802907174
"0063921003",1.58240646237358,2423,1127,1296,237.838366439321
"0063921005",0.951568587317674,1267,607,660,247.887395559893
"0063921025",1.01472890582325,2232,669,1563,212.798251391445
"0063921033",0.157220187341319,907,25,882,244.861474897799
"0065221010",3.09328032892409,3107,1551,1556,214.585054800519
"0065221014",1.45627629110486,1049,1042,7,262.169696037179
"0065221015",1.87309737454854,1494,1256,238,253.534074712767
"0065221016",1.13131919516448,879,782,97,256.636183878963
"0067921010",1.00777280454535,1558,661,897,244.59772856976
"0067921011",0.484546772079963,952,210,742,246.700061202577
"0067921017",1.55164882070906,2567,1102,1465,229.82732425157
"0067921021",1.81252283782181,1627,1239,388,251.197514827969
"0067921023",0.743038845386831,1512,419,1093,241.742201038613
"0071621001",0.223453565493133,88,55,33,259.327325373906
"0071621011",1.12829311571414,1814,780,1034,242.576729995517
"0071621013",0.706989556287883,949,389,560,249.196955301774
"0071621022",0.455087322524928,446,186,260,253.286484184232
"0071621030",0.405047781222564,443,162,281,253.016029157776
